窗口,连续C收益%,连续C回撤%,连续C夏普,连续C仓位%,二值2.0收益%,二值2.0回撤%,二值2.0夏普,SPY收益%,SPY回撤%,SPY夏普
全样本 2011-2025,615.8,-24.5,0.93,99.1,720.8,-24.5,0.94,601.6,-33.7,0.84
样本外 2016-2026,395.7,-24.5,1.05,99.0,454.4,-24.5,1.06,345.4,-33.7,0.89
