group,config,rank_mode,threshold,total_return_%,CAGR_%,max_drawdown_%,trades,final_balance,spike_metric,spike_thr,fall_days
阴阳指数,短期p2,p2,0.6,78.1,6.24,-17.04,293,1781003.0,,,
阴阳指数,短期p2,p2,0.7,125.02,8.88,-11.98,279,2250242.0,,,
阴阳指数,短期p2,p2,0.8,114.63,8.34,-14.88,277,2146250.0,,,
阴阳指数,短期p2,p2,0.9,137.78,9.51,-12.05,237,2377844.0,,,
阴阳指数,长期p1,p1,0.6,58.86,4.97,-6.76,181,1588589.0,,,
阴阳指数,长期p1,p1,0.7,59.79,5.04,-14.84,175,1597901.0,,,
阴阳指数,长期p1,p1,0.8,69.79,5.71,-14.31,139,1697897.0,,,
阴阳指数,长期p1,p1,0.9,93.38,7.16,-25.12,95,1933810.0,,,
阴阳指数,阴阳yyi,yyi,0.6,106.41,7.9,-12.26,281,2064096.0,,,
阴阳指数,阴阳yyi,yyi,0.7,116.09,8.42,-14.88,275,2160890.0,,,
阴阳指数,阴阳yyi,yyi,0.8,140.31,9.63,-16.17,179,2403091.0,,,
阴阳指数,阴阳yyi,yyi,0.9,234.91,13.52,-34.14,1,3349074.0,,,
恐慌反转,panic_z2.0_f2,panic_reversal,,137.01,9.47,-17.91,141,2370116.0,z,2.0,2.0
恐慌反转,panic_z2.5_f2,panic_reversal,,158.78,10.49,-12.92,105,2587849.0,z,2.5,2.0
恐慌反转,panic_z2.5_f3,panic_reversal,,157.99,10.45,-13.91,105,2579941.0,z,2.5,3.0
恐慌反转,panic_z3.0_f3,panic_reversal,,146.07,9.9,-19.62,77,2460670.0,z,3.0,3.0
恐慌反转,panic_lv28_f2,panic_reversal,,99.04,7.49,-22.08,117,1990433.0,level,28.0,2.0
恐慌反转,panic_lv30_f2,panic_reversal,,112.23,8.21,-20.58,85,2122289.0,level,30.0,2.0
恐慌反转,panic_lv30_f3,panic_reversal,,99.31,7.5,-22.86,71,1993123.0,level,30.0,3.0
恐慌反转,panic_lv35_f3,panic_reversal,,97.95,7.42,-19.75,37,1979491.0,level,35.0,3.0
