窗口,VTS1收益%,VTS1回撤%,VTS1夏普,SPY收益%,SPY回撤%,SPY夏普,超额收益%
全样本,133.8,-40.2,0.55,343.4,-33.7,0.89,-209.6
2020 以来,51.0,-40.2,0.41,151.0,-33.7,0.8,-100.1
