策略,total_return_%,CAGR_%,max_drawdown_%,ret_dd_ratio
SPY 买入持有 (基准),345.47,15.27,-33.72,10.25
"二值SPY(重标定 T=73,high_cash)",213.49,11.48,-32.22,6.63
VTS固定>=85→Cash,330.39,14.89,-29.64,11.15
VTS固定<20→Cash,297.11,14.02,-33.72,8.81
