策略,total_return_%,CAGR_%,max_drawdown_%,ret_dd_ratio
SPY 买入持有 (基准),345.47,15.27,-33.72,10.25
QQQ 买入持有 (Nasdaq),614.05,20.56,-35.12,17.48
VTS Defensive Rotation (反向工程),255.31,12.82,-37.92,6.73
VTS Strategic Tail Risk (反向工程),231.23,12.07,-41.37,5.59
VTS Total Portfolio (两策略等权),243.06,12.44,-34.17,7.11
